Multiple records in test_sequences.fasta, using first record
Multiple records in pUC19_part80.fasta, using first record
Multiple records in AGQN01_part195.fasta, using first record
Multiple records in LKUA01_part205.fasta, using first record
Multiple records in LKUB01_part128.fasta, using first record
Multiple records in LKUA01_part130.fasta, using first record
Multiple records in AGQN01_part172.fasta, using first record
Multiple records in AGQN01_part301.fasta, using first record
Multiple records in pUC19_part29.fasta, using first record
Multiple records in pUC19_part95.fasta, using first record
Multiple records in LKUB01_part167.fasta, using first record
Multiple records in LKUA01_part142.fasta, using first record
Multiple records in AGQN01_part197.fasta, using first record
Multiple records in LKUA01_part181.fasta, using first record
Multiple records in AGQN01_part86.fasta, using first record
Multiple records in AGQN01_part304.fasta, using first record
Multiple records in Influenza_A_virus_part13.fasta, using first record
Multiple records in pUC19_part41.fasta, using first record
Multiple records in LKUA01_part71.fasta, using first record
Multiple records in AGQN01_part72.fasta, using first record
Multiple records in AGQN01_part11.fasta, using first record
Multiple records in LKUA01_part293.fasta, using first record
Multiple records in AGQN01_part272.fasta, using first record
Multiple records in AGQN01_part221.fasta, using first record
Multiple records in LKUA01_part291.fasta, using first record
Multiple records in pUC19_part131.fasta, using first record
Multiple records in AGQN01_part53.fasta, using first record
Multiple records in LKUA01_part17.fasta, using first record
Multiple records in AGQN01_part237.fasta, using first record
Multiple records in LKUA01_part31.fasta, using first record
Multiple records in LKUB01_part55.fasta, using first record
Multiple records in pUC19_part51.fasta, using first record
Multiple records in AGQN01_part326.fasta, using first record
Multiple records in AGQN01_part246.fasta, using first record
Multiple records in LKUA01_part105.fasta, using first record
Multiple records in LKUA01_part63.fasta, using first record
Multiple records in AGQN01_part139.fasta, using first record
Multiple records in pUC19_part49.fasta, using first record
Multiple records in AGQN01_part141.fasta, using first record
Multiple records in AGQN01_part35.fasta, using first record
Multiple records in AGQN01_part16.fasta, using first record
Multiple records in LKUA01_part58.fasta, using first record
Multiple records in LKUA01_part159.fasta, using first record
Multiple records in LKUB01_part58.fasta, using first record
Multiple records in AGQN01_part110.fasta, using first record
Multiple records in LKUA01_part139.fasta, using first record
Multiple records in pUC19_part67.fasta, using first record
Multiple records in AGQN01_part158.fasta, using first record
Multiple records in LKUB01_part118.fasta, using first record
Multiple records in pUC19_part163.fasta, using first record
Multiple records in AGQN01_part150.fasta, using first record
Multiple records in LKUA01_part169.fasta, using first record
Multiple records in Influenza_A_virus_part18.fasta, using first record
Multiple records in pUC19_part126.fasta, using first record
Multiple records in LKUB01_part130.fasta, using first record
Multiple records in AGQN01_part50.fasta, using first record
Multiple records in LKUA01_part144.fasta, using first record
Multiple records in pUC19_part141.fasta, using first record
Multiple records in LKUB01_part121.fasta, using first record
Multiple records in pUC19_part71.fasta, using first record
Multiple records in AGQN01_part184.fasta, using first record
Multiple records in AGQN01_part58.fasta, using first record
Multiple records in AGQN01_part295.fasta, using first record
Multiple records in LKUA01_part72.fasta, using first record
Multiple records in LKUA01_part289.fasta, using first record
Multiple records in pUC19_part125.fasta, using first record
Multiple records in LKUA01_part196.fasta, using first record
Multiple records in AGQN01_part131.fasta, using first record
Multiple records in LKUA01_part174.fasta, using first record
Multiple records in AGQN01_part25.fasta, using first record
Multiple records in AGQN01_part292.fasta, using first record
Multiple records in AGQN01_part129.fasta, using first record
Multiple records in AGQN01_part294.fasta, using first record
Multiple records in AGQN01_part148.fasta, using first record
Multiple records in AGQN01_part227.fasta, using first record
Multiple records in LKUA01_part218.fasta, using first record
Multiple records in MNPR01_part12.fasta, using first record
Multiple records in LKUA01_part222.fasta, using first record
Multiple records in pUC19_part134.fasta, using first record
Multiple records in AGQN01_part151.fasta, using first record
Multiple records in LKUB01_part69.fasta, using first record
Multiple records in LKUB01_part146.fasta, using first record
Multiple records in LKUA01_part117.fasta, using first record
Multiple records in AGQN01_part47.fasta, using first record
Multiple records in LKUB01_part90.fasta, using first record
Multiple records in LKUA01_part295.fasta, using first record
Multiple records in LKUA01_part1.fasta, using first record
Multiple records in pUC19_part20.fasta, using first record
Multiple records in AGQN01_part176.fasta, using first record
Multiple records in LKUA01_part195.fasta, using first record
Multiple records in AGQN01_part216.fasta, using first record
Multiple records in LKUA01_part106.fasta, using first record
Multiple records in pUC19_part39.fasta, using first record
Multiple records in LKUB01_part64.fasta, using first record
Multiple records in pUC19_part48.fasta, using first record
Multiple records in LKUA01_part184.fasta, using first record
Multiple records in LKUA01_part272.fasta, using first record
Multiple records in AGQN01_part264.fasta, using first record
Multiple records in pUC19_part169.fasta, using first record
Multiple records in AGQN01_part291.fasta, using first record
Multiple records in LKUA01_part201.fasta, using first record
Multiple records in LKUB01_part109.fasta, using first record
Multiple records in AGQN01_part104.fasta, using first record
Multiple records in LKUA01_part168.fasta, using first record
Multiple records in AGQN01_part10.fasta, using first record
Multiple records in LKUA01_part73.fasta, using first record
Multiple records in pUC19_part175.fasta, using first record
Multiple records in pUC19_part123.fasta, using first record
Multiple records in AGQN01_part63.fasta, using first record
Multiple records in LKUA01_part175.fasta, using first record
Multiple records in AGQN01_part233.fasta, using first record
Multiple records in Influenza_A_virus_part12.fasta, using first record
Multiple records in LKUA01_part87.fasta, using first record
Multiple records in pUC19_part76.fasta, using first record
Multiple records in LKUA01_part54.fasta, using first record
Multiple records in LKUB01_part157.fasta, using first record
Multiple records in LKUA01_part38.fasta, using first record
Multiple records in Influenza_A_virus_part10.fasta, using first record
Multiple records in LKUB01_part85.fasta, using first record
Multiple records in LKUA01_part67.fasta, using first record
Multiple records in pUC19_part107.fasta, using first record
Multiple records in pUC19_part60.fasta, using first record
Multiple records in AGQN01_part242.fasta, using first record
Multiple records in AGQN01_part24.fasta, using first record
Multiple records in AGQN01_part111.fasta, using first record
Multiple records in AGQN01_part279.fasta, using first record
Multiple records in LKUA01_part108.fasta, using first record
Multiple records in LKUA01_part131.fasta, using first record
Multiple records in AGQN01_part101.fasta, using first record
Multiple records in Influenza_A_virus_part15.fasta, using first record
Multiple records in pBluescript_part14.fasta, using first record
Multiple records in LKUA01_part126.fasta, using first record
Multiple records in pBluescript_part5.fasta, using first record
Multiple records in AGQN01_part191.fasta, using first record
Multiple records in pUC19_part38.fasta, using first record
Multiple records in LKUA01_part125.fasta, using first record
Multiple records in LKUA01_part122.fasta, using first record
Multiple records in LKUB01_part151.fasta, using first record
Multiple records in pUC19_part110.fasta, using first record
Multiple records in pUC19_part14.fasta, using first record
Multiple records in pUC19_part102.fasta, using first record
Multiple records in LKUA01_part182.fasta, using first record
Multiple records in AGQN01_part77.fasta, using first record
Multiple records in LKUA01_part64.fasta, using first record
Multiple records in pUC19_part171.fasta, using first record
Multiple records in LKUA01_part268.fasta, using first record
Multiple records in AGQN01_part255.fasta, using first record
Multiple records in LKUB01_part47.fasta, using first record
Multiple records in LKUA01_part114.fasta, using first record
Multiple records in AGQN01_part334.fasta, using first record
Multiple records in LKUB01_part147.fasta, using first record
Multiple records in pUC19_part96.fasta, using first record
Multiple records in LKUA01_part6.fasta, using first record
Multiple records in pUC19_part162.fasta, using first record
Multiple records in LKUB01_part53.fasta, using first record
Multiple records in LKUA01_part206.fasta, using first record
Multiple records in AGQN01_part31.fasta, using first record
Multiple records in LKUA01_part41.fasta, using first record
Multiple records in AGQN01_part30.fasta, using first record
Multiple records in pUC19_part170.fasta, using first record
Multiple records in LKUB01_part158.fasta, using first record
Multiple records in LKUA01_part19.fasta, using first record
Multiple records in pUC19_part109.fasta, using first record
Multiple records in LKUB01_part74.fasta, using first record
Multiple records in AGQN01_part109.fasta, using first record
Multiple records in LKUB01_part51.fasta, using first record
Multiple records in LKUB01_part115.fasta, using first record
Multiple records in AGQN01_part208.fasta, using first record
Multiple records in AGQN01_part68.fasta, using first record
Multiple records in AGQN01_part261.fasta, using first record
Multiple records in AGQN01_part116.fasta, using first record
Multiple records in LKUA01_part160.fasta, using first record
Multiple records in AGQN01_part278.fasta, using first record
Multiple records in LKUB01_part6.fasta, using first record
Multiple records in LKUB01_part20.fasta, using first record
Multiple records in LKUB01_part89.fasta, using first record
Multiple records in LKUB01_part94.fasta, using first record
Multiple records in LKUA01_part304.fasta, using first record
Multiple records in LKUA01_part250.fasta, using first record
Multiple records in LKUB01_part153.fasta, using first record
Multiple records in AGQN01_part170.fasta, using first record
Multiple records in LKUB01_part52.fasta, using first record
Multiple records in LKUA01_part60.fasta, using first record
Multiple records in LKUA01_part83.fasta, using first record
Multiple records in pUC19_part100.fasta, using first record
Multiple records in LKUA01_part70.fasta, using first record
Multiple records in AGQN01_part337.fasta, using first record
Multiple records in Influenza_A_virus_part4.fasta, using first record
Multiple records in LKUA01_part45.fasta, using first record
Multiple records in AGQN01_part37.fasta, using first record
Multiple records in Influenza_A_virus_part11.fasta, using first record
Multiple records in LKUB01_part127.fasta, using first record
Multiple records in pUC19_part173.fasta, using first record
Multiple records in LKUA01_part92.fasta, using first record
Multiple records in AGQN01_part112.fasta, using first record
Multiple records in AGQN01_part6.fasta, using first record
Multiple records in pUC19_part36.fasta, using first record
Multiple records in AGQN01_part8.fasta, using first record
Multiple records in AGQN01_part45.fasta, using first record
Multiple records in AGQN01_part165.fasta, using first record
Multiple records in AGQN01_part162.fasta, using first record
Multiple records in LKUA01_part270.fasta, using first record
Multiple records in pUC19_part77.fasta, using first record
Multiple records in pUC19_part99.fasta, using first record
Multiple records in AGQN01_part215.fasta, using first record
Multiple records in LKUB01_part155.fasta, using first record
Multiple records in AGQN01_part229.fasta, using first record
Multiple records in LKUA01_part294.fasta, using first record
Multiple records in LKUA01_part200.fasta, using first record
Multiple records in LKUA01_part13.fasta, using first record
Multiple records in LKUA01_part249.fasta, using first record
Multiple records in LKUB01_part170.fasta, using first record
Multiple records in LKUB01_part106.fasta, using first record
Multiple records in AGQN01_part96.fasta, using first record
Multiple records in AGQN01_part29.fasta, using first record
Multiple records in AGQN01_part212.fasta, using first record
Multiple records in AGQN01_part296.fasta, using first record
Multiple records in AGQN01_part146.fasta, using first record
Multiple records in LKUA01_part43.fasta, using first record
Multiple records in AGQN01_part55.fasta, using first record
Multiple records in LKUB01_part123.fasta, using first record
Multiple records in LKUB01_part131.fasta, using first record
Multiple records in LKUB01_part80.fasta, using first record
Multiple records in AGQN01_part160.fasta, using first record
Multiple records in pUC19_part23.fasta, using first record
Multiple records in LKUA01_part309.fasta, using first record
Multiple records in AGQN01_part232.fasta, using first record
Multiple records in Influenza_A_virus_part23.fasta, using first record
Multiple records in AGQN01_part132.fasta, using first record
Multiple records in LKUA01_part15.fasta, using first record
Multiple records in AGQN01_part66.fasta, using first record
Multiple records in LKUB01_part150.fasta, using first record
Multiple records in pUC19_part52.fasta, using first record
Multiple records in pUC19_part150.fasta, using first record
Multiple records in AGQN01_part18.fasta, using first record
Multiple records in AGQN01_part307.fasta, using first record
Multiple records in LKUA01_part232.fasta, using first record
Multiple records in AGQN01_part228.fasta, using first record
Multiple records in pUC19_part1.fasta, using first record
Multiple records in AGQN01_part286.fasta, using first record
Multiple records in AGQN01_part240.fasta, using first record
Multiple records in pUC19_part17.fasta, using first record
Multiple records in AGQN01_part203.fasta, using first record
Multiple records in MNPR01_part10.fasta, using first record
Multiple records in AGQN01_part284.fasta, using first record
Multiple records in AGQN01_part40.fasta, using first record
Multiple records in LKUA01_part197.fasta, using first record
Multiple records in AGQN01_part330.fasta, using first record
Multiple records in LKUA01_part157.fasta, using first record
Multiple records in LKUA01_part156.fasta, using first record
Multiple records in LKUB01_part101.fasta, using first record
Multiple records in LKUB01_part169.fasta, using first record
Multiple records in LKUB01_part48.fasta, using first record
Multiple records in LKUA01_part231.fasta, using first record
Multiple records in MNPR01_part4.fasta, using first record
Multiple records in LKUA01_part210.fasta, using first record
Multiple records in LKUA01_part5.fasta, using first record
Multiple records in LKUA01_part81.fasta, using first record
Multiple records in AGQN01_part189.fasta, using first record
Multiple records in LKUA01_part221.fasta, using first record
Multiple records in LKUB01_part59.fasta, using first record
Multiple records in AGQN01_part311.fasta, using first record
Multiple records in LKUB01_part119.fasta, using first record
Multiple records in LKUA01_part227.fasta, using first record
Multiple records in LKUA01_part77.fasta, using first record
Multiple records in pUC19_part5.fasta, using first record
Multiple records in AGQN01_part263.fasta, using first record
Multiple records in LKUB01_part139.fasta, using first record
Multiple records in pUC19_part105.fasta, using first record
Multiple records in LKUA01_part137.fasta, using first record
Multiple records in LKUB01_part145.fasta, using first record
Multiple records in pUC19_part55.fasta, using first record
Multiple records in LKUA01_part110.fasta, using first record
Multiple records in AGQN01_part144.fasta, using first record
Multiple records in LKUB01_part38.fasta, using first record
Multiple records in LKUA01_part80.fasta, using first record
Multiple records in LKUA01_part292.fasta, using first record
Multiple records in AGQN01_part21.fasta, using first record
Multiple records in LKUA01_part37.fasta, using first record
Multiple records in pUC19_part148.fasta, using first record
Multiple records in AGQN01_part89.fasta, using first record
Multiple records in LKUB01_part42.fasta, using first record
Multiple records in AGQN01_part135.fasta, using first record
Multiple records in LKUA01_part151.fasta, using first record
Multiple records in AGQN01_part164.fasta, using first record
Multiple records in AGQN01_part115.fasta, using first record
Multiple records in AGQN01_part127.fasta, using first record
Multiple records in AGQN01_part130.fasta, using first record
Multiple records in AGQN01_part222.fasta, using first record
Multiple records in LKUA01_part30.fasta, using first record
Multiple records in MNPR01_part9.fasta, using first record
Multiple records in pUC19_part154.fasta, using first record
Multiple records in LKUA01_part143.fasta, using first record
Multiple records in LKUB01_part168.fasta, using first record
Multiple records in LKUA01_part53.fasta, using first record
Multiple records in LKUA01_part10.fasta, using first record
Multiple records in AGQN01_part75.fasta, using first record
Multiple records in LKUB01_part10.fasta, using first record
Multiple records in LKUA01_part179.fasta, using first record
Multiple records in Influenza_A_virus_part22.fasta, using first record
Multiple records in pUC19_part152.fasta, using first record
Multiple records in AGQN01_part178.fasta, using first record
Multiple records in LKUA01_part190.fasta, using first record
Multiple records in LKUB01_part27.fasta, using first record
Multiple records in LKUA01_part52.fasta, using first record
Multiple records in pUC19_part115.fasta, using first record
Multiple records in AGQN01_part199.fasta, using first record
Multiple records in AGQN01_part107.fasta, using first record
Multiple records in AGQN01_part93.fasta, using first record
Multiple records in AGQN01_part49.fasta, using first record
Multiple records in AGQN01_part14.fasta, using first record
Multiple records in AGQN01_part67.fasta, using first record
Multiple records in pBluescript_part6.fasta, using first record
Multiple records in LKUA01_part290.fasta, using first record
Multiple records in pUC19_part30.fasta, using first record
Multiple records in AGQN01_part65.fasta, using first record
Multiple records in LKUB01_part72.fasta, using first record
Multiple records in AGQN01_part239.fasta, using first record
Multiple records in LKUA01_part3.fasta, using first record
Multiple records in AGQN01_part329.fasta, using first record
Multiple records in LKUA01_part42.fasta, using first record
Multiple records in LKUA01_part189.fasta, using first record
Multiple records in MNPR01_part7.fasta, using first record
Multiple records in AGQN01_part181.fasta, using first record
Multiple records in AGQN01_part308.fasta, using first record
Multiple records in LKUA01_part286.fasta, using first record
Multiple records in LKUB01_part149.fasta, using first record
Multiple records in LKUA01_part50.fasta, using first record
Multiple records in AGQN01_part142.fasta, using first record
Multiple records in LKUA01_part271.fasta, using first record
Multiple records in pUC19_part149.fasta, using first record
Multiple records in AGQN01_part171.fasta, using first record
Multiple records in LKUB01_part9.fasta, using first record
Multiple records in AGQN01_part321.fasta, using first record
Multiple records in LKUA01_part135.fasta, using first record
Multiple records in AGQN01_part123.fasta, using first record
Multiple records in LKUA01_part307.fasta, using first record
Multiple records in LKUA01_part23.fasta, using first record
Multiple records in LKUA01_part238.fasta, using first record
Multiple records in LKUA01_part55.fasta, using first record
Multiple records in pUC19_part44.fasta, using first record
Multiple records in LKUA01_part302.fasta, using first record
Multiple records in LKUA01_part254.fasta, using first record
Multiple records in LKUB01_part15.fasta, using first record
Multiple records in LKUA01_part225.fasta, using first record
Multiple records in LKUA01_part150.fasta, using first record
Multiple records in LKUA01_part118.fasta, using first record
Multiple records in LKUA01_part233.fasta, using first record
Multiple records in AGQN01_part88.fasta, using first record
Multiple records in AGQN01_part226.fasta, using first record
Multiple records in LKUB01_part46.fasta, using first record
Multiple records in LKUA01_part120.fasta, using first record
Multiple records in pUC19_part155.fasta, using first record
Multiple records in LKUB01_part84.fasta, using first record
Multiple records in LKUA01_part176.fasta, using first record
Multiple records in AGQN01_part214.fasta, using first record
Multiple records in AGQN01_part41.fasta, using first record
Multiple records in LKUB01_part166.fasta, using first record
Multiple records in MNPR01_part5.fasta, using first record
Multiple records in AGQN01_part289.fasta, using first record
Multiple records in pUC19_part37.fasta, using first record
Multiple records in LKUB01_part148.fasta, using first record
Multiple records in LKUA01_part188.fasta, using first record
Multiple records in AGQN01_part209.fasta, using first record
Multiple records in LKUB01_part125.fasta, using first record
Multiple records in LKUA01_part116.fasta, using first record
Multiple records in LKUA01_part282.fasta, using first record
Multiple records in pBluescript_part21.fasta, using first record
Multiple records in AGQN01_part85.fasta, using first record
Multiple records in AGQN01_part234.fasta, using first record
Multiple records in LKUA01_part209.fasta, using first record
Multiple records in LKUA01_part236.fasta, using first record
Multiple records in pUC19_part136.fasta, using first record
Multiple records in AGQN01_part175.fasta, using first record
Multiple records in LKUA01_part79.fasta, using first record
Multiple records in AGQN01_part161.fasta, using first record
Multiple records in LKUB01_part93.fasta, using first record
Multiple records in LKUA01_part261.fasta, using first record
Multiple records in AGQN01_part152.fasta, using first record
Multiple records in AGQN01_part155.fasta, using first record
Multiple records in LKUA01_part166.fasta, using first record
Multiple records in MNPR01_part6.fasta, using first record
Multiple records in AGQN01_part80.fasta, using first record
Multiple records in LKUB01_part112.fasta, using first record
Multiple records in pUC19_part46.fasta, using first record
